aubergine,amaranth,asparagus,legumes,beans,chickpeas,lentils,peas,broccoli,cabbage,kohlrabi,cauliflower,celery,endive,fiddleheads,frisee,fennel,greens,kale,spinach,anise,basil,caraway,cilantro,coriander,chamomile,dill,lavender,marjoram,oregano,parsley,rosemary,sage,thyme,lettuce,arugula,mushrooms,nettles,okra,onions,chives,garlic,leek,onion,shallot,peppers,habanero,paprika,radicchio,rhubarb,turnip,radish,courgette,pumpkin,potato,quandong,sunchokes,zucchini
-0.31617,0.27595,-0.4557,0.65255,0.24658,0.37457,0.42484,0.065506,-0.16262,-0.10551,-0.48157,-0.14071,-0.22796,-0.10372,-0.38017,0.56364,-0.15919,-0.61894,-0.044237,-0.14077,0.25316,0.0058528,-0.013987,-0.066871,0.23117,0.092154,-0.12973,0.07248,0.1764,0.13827,-0.34477,0.072254,-0.42948,0.35429,0.10834,0.090111,-0.030242,-0.22435,-0.24064,-0.39603,-0.25527,-0.32817,0.0040342,-0.46813,0.15236,-0.20205,-0.34603,-0.19896,0.011026,-0.7224,-0.52,-0.35831,-0.25113,-0.84434,-0.43023,-0.36216,-0.14323,-0.58577
-0.38141,-0.10748,-0.18609,0.022562,-0.33644,0.045099,0.037333,0.036623,-0.21684,-0.19392,-0.51628,-0.55163,0.20996,0.046201,-0.4503,-0.16396,0.13402,0.14781,0.025019,0.055053,0.18264,-0.4545,0.05718,-0.25703,0.32085,0.939,-0.095769,0.035346,0.052076,0.15191,-0.012198,0.064771,-0.035625,0.095725,-0.086392,-0.22095,-0.21873,0.17788,-0.16466,0.21174,0.081884,0.28843,-0.17852,-0.34286,0.12071,-0.49173,-0.66713,-0.5017,-0.38099,-0.62181,0.14832,-0.33126,-0.20265,-0.25914,-0.40977,-0.5386,-0.31758,-0.37071
-0.58829,-0.35411,-0.0027432,-0.13947,0.43325,0.28453,-0.11901,-0.11495,0.0099308,-0.3471,-0.68031,-0.3557,0.044418,-0.20408,-0.0047645,0.38251,-0.60023,0.88059,0.10183,0.41143,-0.27487,0.42764,-0.46301,0.38954,-0.21601,-0.18636,-0.33591,-0.28954,-0.31568,0.093793,-0.019655,0.032707,-0.27161,-0.42448,0.43816,0.1934,-0.08777,-0.30559,0.013967,0.033962,-0.43133,0.15275,-0.84841,0.12934,-0.43091,0.23337,0.44747,-0.1081,0.25809,-0.085518,-0.25548,-0.21837,-0.77206,-0.085688,0.23061,-0.66052,-0.39174,-0.12452
-0.19842,-0.32022,-0.78769,-1.014,-0.65701,-0.47222,-0.86009,-0.1605,-0.61351,-0.085897,-0.14949,-0.47102,0.21921,-0.041017,-0.97705,-0.30737,-0.48636,-0.93109,-0.50278,-0.66893,0.09802,-0.89196,-0.38802,-0.63403,-0.46431,-1.4107,-0.18599,-0.65037,0.031086,-0.39978,-0.15632,-0.18865,-0.49018,-0.03276,-0.17052,-0.55336,-0.86478,0.18653,-0.44959,-0.31268,-0.43122,-0.48713,-0.22365,-0.11282,0.19172,-0.427,-0.59294,-0.010351,-0.49424,0.1246,0.04094,-0.31505,-0.15017,-0.68748,0.24256,0.35979,-0.63746,-0.60234
0.81881,0.26424,0.62181,0.22427,0.61673,0.38071,0.3681,0.55316,0.48491,0.33718,0.48764,0.6426,0.45061,0.4608,0.2525,0.35102,0.39811,0.66322,0.32958,0.93856,0.44124,0.33393,-0.31139,0.69684,0.61291,0.48769,-0.026253,0.62472,0.00087046,0.45678,0.25916,0.03351,0.76137,0.54731,0.63182,0.64258,0.58965,-0.15868,0.63754,0.52057,0.49652,0.67131,0.23477,0.59132,0.5022,0.31649,0.35339,0.5217,0.27914,0.72672,-0.10267,0.4099,0.59197,0.42423,0.52562,0.22559,-0.12007,0.70299
-0.62784,-0.6653,-0.98722,-0.48599,-0.85956,-1.0732,-0.59606,-0.87526,-1.0893,-1.1205,-0.77714,-1.2283,-1.6586,-0.52731,-0.49131,-0.85329,-1.5552,-0.58864,-0.72349,-1.0173,-0.96528,-0.89119,-0.8233,-1.3062,-1.4128,-0.49987,-1.282,-0.7332,-1.0656,-1.2961,-1.2411,-1.1051,-0.40921,-1.4082,-1.044,-0.76019,-0.93263,-0.41955,-0.79513,-1.478,-1.1602,-1.3497,-0.93245,-1.2998,-0.96614,-1.1252,-0.81879,-0.75951,-0.71694,-1.1263,-1.1256,-1.2076,-1.6085,-0.69973,-0.9884,0.009144,-0.28503,-1.4603
0.14033,0.081032,-0.6738,-0.74781,-1.8247,-0.29151,-0.39384,-1.2448,-0.91243,-0.86859,0.24493,-0.65017,-0.72739,0.35385,0.13571,0.61422,-0.22515,-1.3074,-0.60492,-1.0067,-0.050654,-0.87587,0.25132,-0.60366,-0.4214,-0.26674,-0.48123,-0.61308,0.041628,-0.72676,-0.75509,-0.65237,-1.3331,-0.43264,-1.1437,-0.20849,-1.3918,-0.014615,-0.42704,-1.2624,-0.41043,-1.3825,0.077678,-1.021,0.36037,-1.0459,-0.040444,-0.25464,0.38443,-0.5109,-0.066993,-0.3172,0.1622,-0.92894,-1.3167,0.50548,0.33173,-0.52778
-0.078588,-0.20894,0.090376,0.41093,0.21943,0.21229,0.14027,-0.066671,-0.10457,-0.3877,-0.37574,-0.3461,-0.3721,-0.26709,-0.1649,-0.13686,-0.44246,-0.63133,-0.22417,-0.095466,-0.59358,-0.61586,-0.4124,0.014172,-0.069782,-0.13597,-0.46416,-0.58198,-0.46802,-0.24238,-0.40144,-0.36412,-0.73978,-0.6213,-0.39061,-0.22199,-0.55804,-0.20783,-0.03318,-0.25721,-0.66216,-0.13369,-0.22389,-0.10263,-0.66496,-0.29807,-0.11367,-0.40965,-0.1136,-0.18408,-0.52223,-0.11419,0.084485,-0.025033,-0.10795,-0.50902,-0.067649,-0.035435
-0.46591,-0.32137,-0.074569,-0.53418,-0.3228,-0.44287,-0.80977,-0.063275,-0.48326,-0.71544,-0.86539,-0.49343,-0.30865,-0.042684,-0.12585,0.22723,-0.57285,-0.0038392,-0.62263,-0.66273,-0.43078,-0.27663,-0.41606,-0.37456,-0.23164,-0.23344,-0.17604,-0.12333,-0.75197,-0.21585,-0.31023,-0.28382,-0.0075144,-0.11073,-0.11266,-0.010625,-0.36164,-0.14396,-0.096728,0.020512,-0.2524,-0.028588,-0.37192,0.089743,0.00049422,-0.074204,-0.070206,0.12376,-0.13929,-0.39873,-0.49721,0.077379,-0.37969,0.42904,-0.26868,0.22895,-0.053089,-0.43165
-0.7185,-0.25554,-1.0782,-0.25069,-1.305,-1.2341,-0.8861,-0.98308,-1.0663,-1.0648,-0.12721,-0.86026,-1.1366,-0.22822,0.15458,-0.6888,-1.3508,-0.15778,-1.0817,-1.0905,-1.0226,-1.2318,-0.83273,-1.31,-1.2451,-1.8904,-1.1952,-1.4424,-1.4178,-1.705,-1.2459,-1.4432,-0.85527,-2.0161,-0.90178,-1.2615,-1.0277,-1.477,-0.50264,-1.338,-0.82763,-1.3233,-0.6178,-1.1737,-0.82944,-1.779,-1.3303,-1.4333,-0.60532,-0.84852,-0.1155,-0.26503,-0.61614,-1.3816,-0.91291,-0.12552,-0.18279,-1.0401
