apple,apricot,avocado,banana,bilberry,blackberry,blackcurrant,blueberry,boysenberry,currant,cherry,cherimoya,cloudberry,coconut,cranberry,cucumber,damson,dragonfruit,durian,elderberry,feijoa,fig,gooseberry,grape,raisin,grapefruit,guava,honeyberry,huckleberry,jabuticaba,jackfruit,jambul,jujube,kiwano,kiwifruit,kumquat,lemon,lime,loquat,longan,lychee,mango,mangosteen,marionberry,melon,cantaloupe,honeydew,watermelon,mulberry,nectarine,nance,olive,orange,clementine,mandarine,tangerine,papaya,peach
-0.077424,-0.36757,-0.29165,-0.36379,-0.60602,-0.14043,-0.66983,-0.47747,-0.45222,0.18361,-0.20185,-0.19613,-0.23474,-0.03124,-0.61067,-0.88559,-0.51973,-0.17518,-0.72255,-0.53541,-0.071683,-0.19264,-0.021794,-0.35302,-0.37979,0.031889,0.0071506,-0.057016,-0.61171,-0.41101,-0.24415,0.085633,0.095876,0.38323,-0.16902,-0.52028,-0.45297,-0.035739,0.26352,-0.14393,0.12423,-0.28651,-0.36188,-0.31664,-0.77142,-0.23936,-0.10894,-0.99684,0.26368,-0.11978,-0.10134,0.07111,-0.24226,-0.22999,0.072435,-0.19808,0.19059,-0.59486
-0.0072709,-0.68801,-0.43165,-0.10368,0.30315,-0.0075778,-0.49888,-0.36228,-0.67957,-0.29883,-0.55413,0.36382,0.062918,-0.042739,-0.40216,0.10536,-0.5306,0.6338,-0.0017997,0.25928,0.090492,0.0028086,-0.023278,0.24393,0.073959,0.20708,-0.12305,-0.24898,0.35802,-0.39407,0.019325,-0.2292,0.69812,0.066557,-0.030979,-0.54097,-0.13205,-0.57925,0.003847,0.25651,-0.063348,-0.19674,0.87814,-0.052812,-0.067073,-0.07858,-0.19481,-0.54235,0.23858,-0.54967,-0.26651,0.32026,-0.41893,-0.34526,-0.09735,-0.51627,0.10108,-0.28083
-0.17181,-0.14844,0.26492,0.19613,0.16475,0.85657,0.54861,0.13811,0.19457,0.53716,0.14332,0.17636,-1.0514,0.41829,0.18511,0.087979,-0.15643,0.21808,0.50278,0.19657,-0.087485,-0.23944,0.38124,0.18575,-0.038993,0.76607,0.54857,-0.20067,0.038302,0.083024,0.32214,0.17275,-0.37743,0.28081,-0.3581,-0.16016,0.23771,0.39715,-0.42305,-0.097459,0.25331,0.90944,0.37271,-0.16048,0.48633,0.33066,-0.037185,0.44397,0.20282,-0.38258,-0.043391,-0.10045,0.11938,-0.34535,-0.078198,0.16495,0.3494,0.074526
0.18994,-0.96095,-1.1137,-0.096709,-0.5083,0.47518,-0.20063,-0.13589,0.26788,0.018377,0.25553,-0.054864,-0.17078,-0.84209,0.1663,-0.61692,0.44138,-0.037909,-0.9148,0.1044,-0.049945,-0.17699,-0.071613,0.24327,0.01513,-0.18952,-0.037154,-0.16856,0.076464,0.11846,-0.14151,0.032976,0.03195,0.12675,0.19894,-0.051019,-0.71278,-0.57364,0.021516,-0.31337,-0.64655,-0.65146,-0.19248,0.33354,-0.33563,-0.16745,0.066264,-0.20153,-0.69624,0.014548,0.37295,-0.81898,-0.16961,0.37738,-0.21522,-0.27153,-0.51244,-0.44779
0.71472,1.1774,1.0291,0.86388,0.91074,0.8502,0.87403,0.8708,0.37755,0.11373,0.76468,0.03202,0.59663,0.88534,0.58756,0.84143,0.81751,0.50557,0.34788,0.87454,0.44954,0.66077,0.61136,0.70806,0.46241,1.0555,1.0974,0.050528,0.39815,-0.16509,0.97729,0.67708,0.072063,0.0053225,0.42253,0.59311,0.69297,0.66596,0.20687,0.18226,0.9647,1.1257,0.8601,0.35343,0.49806,0.42898,-0.33957,0.50038,0.33124,0.90418,-0.057156,0.44107,0.60677,0.0016246,0.17515,0.71775,1.2966,0.54146
-1.0501,-0.50643,-0.68178,-0.8015,-0.42581,0.11119,-1.214,-0.77338,-0.59549,-0.81187,-0.63076,-0.58508,-0.38506,-0.39782,-0.75276,-1.2774,-0.38875,-0.34346,-0.51454,-1.0838,-0.7848,-0.80036,-0.55549,-0.92658,-0.84912,-0.58286,-0.73997,-0.086416,0.097483,-0.23584,-0.74266,-0.39346,-0.15339,0.27666,-1.0188,-0.73988,-0.90305,-0.71318,-0.17024,-0.49507,-0.55876,-0.57768,-0.14516,-0.3174,-0.94558,-1.1017,-0.80538,-0.84877,0.027422,-0.71457,-0.062524,-0.21058,-0.58495,-0.62085,-0.48946,-0.27246,-0.94828,-0.33664
-2.8027,-0.13602,-0.53955,-1.0398,0.29757,-2.1422,0.26571,-0.48661,0.69883,0.10922,-1.08,0.55392,0.29625,-1.0272,-0.29059,-0.7182,0.53807,0.21467,-0.10865,-0.042567,0.5129,-0.64601,0.24998,-1.0963,-0.11616,-0.7463,-0.14621,0.70294,0.13149,0.63433,0.36143,0.71445,0.15892,0.40096,0.36826,0.48706,-0.90683,-1.0398,0.60283,0.51876,0.13733,-0.99264,-0.16682,0.68537,-0.38422,-0.073713,0.070005,-0.52492,-0.38654,0.26469,0.20012,-1.0047,-1.3963,-0.12497,0.49523,-0.216,-0.24293,-0.68222
0.2608,-0.23209,0.16895,0.012753,0.25315,0.64756,-0.281,-0.1037,-0.19828,-0.11671,-0.48485,0.1369,-0.25619,0.19464,-0.18352,-0.062523,-0.65093,-0.59588,-0.10272,-0.3234,-0.28163,0.39412,-0.50485,0.04134,0.039165,-0.10675,0.12322,-0.28398,-0.16478,-0.3908,-0.018087,0.019675,0.027815,-0.34148,0.010505,-0.3715,-0.24262,0.036087,-0.035929,-0.43542,-0.54435,0.070129,0.15033,-0.28213,-0.16837,-0.31567,-0.25134,-0.18785,-0.091223,-0.16479,0.015306,-0.24414,-0.043142,-0.23718,-0.3957,-0.54739,0.18153,-0.33911
0.26097,-0.30315,0.094321,-0.083309,0.18574,0.22365,0.038074,0.14777,0.10609,0.26281,0.29331,-0.18309,-0.56636,0.16404,-0.059456,-0.18086,-0.05307,-0.15097,-0.22285,0.21702,-0.087743,0.27929,-0.57451,0.034184,0.064077,-0.22131,-0.32008,-0.13645,-0.092456,0.02406,-0.59004,-0.23998,-0.26062,0.22719,-0.18874,-0.23716,-0.067374,0.10857,-0.23951,0.24084,-0.13699,-0.23408,-0.055629,0.20341,0.06197,-0.11857,0.30657,-0.15065,-0.38498,-0.014788,-0.28482,0.46239,0.042301,-0.35656,-0.24921,-0.16338,-0.091631,-0.039833
-1.2959,-1.3152,-1.1524,-1.221,-0.098697,-0.77457,-0.18241,-0.77749,-0.75451,-0.57049,-0.55487,-0.23447,-0.18727,-0.75222,-1.0926,-0.98788,-0.49992,0.26025,0.074465,-0.60482,-0.15218,-0.75317,-0.48938,-0.71301,-0.70995,-1.1969,-1.0197,0.26586,-1.0051,0.33014,-0.50389,0.18587,-0.35888,0.68184,-0.68164,-0.8961,-1.3475,-1.1677,-0.43509,-0.21279,-0.71388,-0.70862,-0.3979,-0.0035573,-0.8794,-0.74131,-0.47596,-1.1535,-0.61674,-0.94378,-0.58047,-1.0414,-0.38854,-0.75537,0.026006,-0.79219,-1.3821,-1.1956
